filepath,class,label,subset
train\Normal\aug_7_1850.jpg,Normal,0,train
train\Normal\aug_851_7576.jpg,Normal,0,train
train\Normal\aug_338_9737.jpg,Normal,0,train
train\OSCC\aug_192_9707.jpg,OSCC,1,train
train\OSCC\OSCC_400x_293.jpg,OSCC,1,train
train\Normal\aug_114_6993.jpg,Normal,0,train
train\OSCC\OSCC_400x_190.jpg,OSCC,1,train
train\OSCC\OSCC_100x_272.jpg,OSCC,1,train
train\Normal\aug_211_5603.jpg,Normal,0,train
train\Normal\aug_150_8437.jpg,Normal,0,train
train\OSCC\aug_140_7277.jpg,OSCC,1,train
train\OSCC\OSCC_100x_38.jpg,OSCC,1,train
train\OSCC\aug_616_4186.jpg,OSCC,1,train
train\Normal\aug_370_3885.jpg,Normal,0,train
train\Normal\aug_114_1343.jpg,Normal,0,train
train\Normal\Normal_100x_85.jpg,Normal,0,train
train\OSCC\aug_136_6003.jpg,OSCC,1,train
train\Normal\aug_26_755.jpg,Normal,0,train
train\Normal\aug_214_8513.jpg,Normal,0,train
train\OSCC\OSCC_100x_183.jpg,OSCC,1,train
train\OSCC\aug_183_7337.jpg,OSCC,1,train
train\OSCC\aug_289_8360.jpg,OSCC,1,train
train\OSCC\aug_287_8978.jpg,OSCC,1,train
train\Normal\aug_73_9454.jpg,Normal,0,train
train\Normal\aug_74_9000.jpg,Normal,0,train
train\OSCC\aug_380_4347.jpg,OSCC,1,train
train\Normal\aug_182_5382.jpg,Normal,0,train
train\Normal\aug_69_2949.jpg,Normal,0,train
train\Normal\aug_201_6007.jpg,Normal,0,train
train\OSCC\aug_549_1660.jpg,OSCC,1,train
train\Normal\aug_128_1363.jpg,Normal,0,train
train\OSCC\OSCC_400x_344.jpg,OSCC,1,train
train\OSCC\OSCC_100x_297.jpg,OSCC,1,train
train\OSCC\OSCC_400x_248.jpg,OSCC,1,train
train\Normal\aug_75_462.jpg,Normal,0,train
train\Normal\aug_199_3129.jpg,Normal,0,train
train\OSCC\aug_115_9197.jpg,OSCC,1,train
train\OSCC\OSCC_400x_340.jpg,OSCC,1,train
train\OSCC\aug_416_2468.jpg,OSCC,1,train
train\Normal\aug_90_1101.jpg,Normal,0,train
train\Normal\aug_169_4615.jpg,Normal,0,train
train\OSCC\aug_54_2436.jpg,OSCC,1,train
train\OSCC\aug_85_6774.jpg,OSCC,1,train
train\OSCC\aug_113_8598.jpg,OSCC,1,train
train\OSCC\aug_139_6369.jpg,OSCC,1,train
train\Normal\aug_27_1661.jpg,Normal,0,train
train\Normal\aug_120_3370.jpg,Normal,0,train
train\OSCC\aug_172_6613.jpg,OSCC,1,train
train\OSCC\aug_365_5179.jpg,OSCC,1,train
train\OSCC\OSCC_400x_186.jpg,OSCC,1,train
train\Normal\aug_305_6462.jpg,Normal,0,train
train\OSCC\aug_559_8717.jpg,OSCC,1,train
train\OSCC\aug_209_6524.jpg,OSCC,1,train
train\Normal\aug_40_2613.jpg,Normal,0,train
train\OSCC\aug_29_5276.jpg,OSCC,1,train
train\Normal\aug_38_4089.jpg,Normal,0,train
train\Normal\aug_51_4061.jpg,Normal,0,train
train\OSCC\aug_357_3652.jpg,OSCC,1,train
train\Normal\aug_67_5316.jpg,Normal,0,train
train\OSCC\OSCC_100x_123.jpg,OSCC,1,train
train\OSCC\OSCC_400x_189.jpg,OSCC,1,train
train\OSCC\OSCC_400x_442.jpg,OSCC,1,train
train\OSCC\aug_73_2232.jpg,OSCC,1,train
train\OSCC\aug_483_2798.jpg,OSCC,1,train
train\OSCC\aug_387_9449.jpg,OSCC,1,train
train\OSCC\aug_68_8873.jpg,OSCC,1,train
train\OSCC\OSCC_100x_136.jpg,OSCC,1,train
train\OSCC\aug_528_191.jpg,OSCC,1,train
train\OSCC\OSCC_400x_446.jpg,OSCC,1,train
train\OSCC\aug_163_6356.jpg,OSCC,1,train
train\Normal\aug_208_6328.jpg,Normal,0,train
train\Normal\aug_531_4512.jpg,Normal,0,train
train\Normal\aug_79_4121.jpg,Normal,0,train
train\Normal\aug_23_3257.jpg,Normal,0,train
train\OSCC\OSCC_400x_216.jpg,OSCC,1,train
train\OSCC\OSCC_100x_375.jpg,OSCC,1,train
train\OSCC\aug_106_1444.jpg,OSCC,1,train
train\Normal\aug_49_7777.jpg,Normal,0,train
train\Normal\Normal_400x_116.jpg,Normal,0,train
train\OSCC\aug_696_6789.jpg,OSCC,1,train
train\OSCC\aug_81_7619.jpg,OSCC,1,train
train\Normal\aug_93_4022.jpg,Normal,0,train
train\Normal\aug_97_7321.jpg,Normal,0,train
train\OSCC\aug_366_9786.jpg,OSCC,1,train
train\OSCC\aug_660_5990.jpg,OSCC,1,train
train\Normal\aug_199_7880.jpg,Normal,0,train
train\Normal\aug_131_4694.jpg,Normal,0,train
train\OSCC\aug_168_4891.jpg,OSCC,1,train
train\Normal\aug_148_284.jpg,Normal,0,train
train\OSCC\aug_140_6667.jpg,OSCC,1,train
train\Normal\aug_444_4772.jpg,Normal,0,train
train\OSCC\aug_578_1359.jpg,OSCC,1,train
train\OSCC\aug_51_5937.jpg,OSCC,1,train
train\Normal\aug_177_7279.jpg,Normal,0,train
train\OSCC\OSCC_400x_444.jpg,OSCC,1,train
